origin,dest,distance,arr_delay
LGA,MCO,950.0,-24.0
JFK,MSY,1182.0,-7.0
LGA,BOS,184.0,-22.0
LGA,DTW,502.0,-1.0
EWR,ORD,719.0,59.0
EWR,BOS,200.0,9.0
JFK,BOS,187.0,-11.0
LGA,CLT,544.0,-1.0
LGA,MDW,725.0,0.0
JFK,LAX,2475.0,-6.0
LGA,DCA,214.0,60.0
LGA,RDU,431.0,13.0
EWR,RIC,277.0,1.0
EWR,ALB,143.0,62.0
EWR,JAX,820.0,2.0
EWR,SDF,642.0,4.0
EWR,STL,872.0,32.0
JFK,BWI,184.0,62.0
EWR,DTW,488.0,142.0
EWR,MSP,1008.0,62.0
LGA,BNA,764.0,-14.0
EWR,DCA,199.0,0.0
JFK,DCA,213.0,-5.0
LGA,ORD,733.0,28.0
LGA,FLL,1076.0,-15.0
EWR,PHL,80.0,-3.0
LGA,CLE,419.0,112.0
JFK,FLL,1069.0,-20.0
JFK,LAX,2475.0,10.0
EWR,GSO,445.0,111.0
LGA,DCA,214.0,26.0
LGA,PWM,269.0,-21.0
JFK,CVG,589.0,81.0
EWR,BOS,200.0,12.0
EWR,BTV,266.0,-17.0
EWR,CVG,569.0,147.0
JFK,SYR,209.0,-17.0
JFK,PWM,273.0,-4.0
JFK,ROC,264.0,-2.0
JFK,BUF,301.0,-10.0
JFK,BTV,266.0,-5.0
EWR,MDW,711.0,190.0
JFK,PSE,1617.0,-5.0
EWR,PVD,160.0,140.0
JFK,BQN,1576.0,0.0
EWR,PWM,284.0,111.0
EWR,SDF,642.0,194.0
EWR,PWM,284.0,161.0
EWR,CLT,529.0,-4.0
EWR,IAH,1400.0,-31.0
LGA,IAH,1416.0,-22.0
JFK,MIA,1089.0,-30.0
JFK,BQN,1576.0,-1.0
EWR,BOS,200.0,-19.0
LGA,DFW,1389.0,-26.0
LGA,ATL,762.0,-21.0
JFK,RSW,1074.0,-26.0
JFK,PHL,94.0,9.0
JFK,LAX,2475.0,23.0
JFK,IAD,228.0,1.0
LGA,DCA,214.0,-6.0
JFK,FLL,1069.0,-23.0
LGA,FLL,1076.0,-23.0
LGA,DTW,502.0,-7.0
LGA,ATL,762.0,0.0
LGA,DTW,502.0,-15.0
JFK,SFO,2586.0,0.0
EWR,FLL,1065.0,-26.0
LGA,MDW,725.0,-2.0
LGA,ATL,762.0,-7.0
EWR,BOS,200.0,-26.0
LGA,IAD,229.0,8.0
EWR,MIA,1085.0,-21.0
JFK,PBI,1028.0,-21.0
LGA,MSP,1020.0,0.0
EWR,IAD,212.0,26.0
LGA,RDU,431.0,2.0
JFK,SJU,1598.0,-2.0
EWR,MDW,711.0,-1.0
JFK,ATL,760.0,0.0
LGA,MIA,1096.0,-8.0
EWR,CLE,404.0,1.0
EWR,ATL,746.0,-5.0
LGA,IAH,1416.0,-31.0
JFK,CLT,541.0,-17.0
JFK,MCO,944.0,-19.0
JFK,TPA,1005.0,-24.0
LGA,BOS,184.0,9.0
LGA,CLT,544.0,-12.0
JFK,BOS,187.0,-16.0
LGA,DFW,1389.0,-24.0
LGA,ORD,733.0,19.0
EWR,CLT,529.0,-3.0
LGA,CLT,544.0,28.0
EWR,BWI,169.0,4.0
EWR,IND,645.0,22.0
EWR,CVG,569.0,15.0
JFK,ORD,740.0,0.0
LGA,DEN,1620.0,4.0
EWR,SFO,2565.0,13.0
JFK,SJU,1598.0,-19.0
LGA,MSP,1020.0,-4.0
EWR,PBI,1023.0,-30.0
EWR,PHX,2133.0,-14.0
LGA,TPA,1010.0,-16.0
EWR,MIA,1085.0,-12.0
EWR,PIT,319.0,-1.0
EWR,FLL,1065.0,-26.0
LGA,ORD,733.0,4.0
EWR,DFW,1372.0,-27.0
JFK,BUF,301.0,-13.0
LGA,DEN,1620.0,-8.0
EWR,CLT,529.0,-4.0
JFK,MSY,1182.0,-4.0
EWR,CMH,463.0,32.0
JFK,SFO,2586.0,-11.0
LGA,ATL,762.0,-16.0
LGA,ORD,733.0,-9.0
LGA,DCA,214.0,-6.0
EWR,DEN,1605.0,13.0
LGA,MIA,1096.0,-12.0
JFK,LAX,2475.0,4.0
LGA,MCO,950.0,-31.0
LGA,XNA,1147.0,-13.0
LGA,ORD,733.0,-21.0
JFK,LAX,2475.0,18.0
LGA,MIA,1096.0,-15.0
JFK,LAS,2248.0,3.0
EWR,BOS,200.0,-7.0
LGA,FLL,1076.0,-22.0
JFK,MCO,944.0,-19.0
JFK,FLL,1069.0,-31.0
EWR,HOU,1411.0,-5.0
EWR,SNA,2434.0,-12.0
EWR,ORD,719.0,-20.0
EWR,ORD,719.0,2.0
EWR,LAS,2227.0,8.0
EWR,CLT,529.0,13.0
EWR,MCO,937.0,-12.0
JFK,SJU,1598.0,-16.0
JFK,LAX,2475.0,26.0
EWR,LAX,2454.0,3.0
EWR,RDU,416.0,37.0
EWR,SEA,2402.0,21.0
LGA,DTW,502.0,-12.0
JFK,MIA,1089.0,-23.0
JFK,SFO,2586.0,4.0
EWR,RSW,1068.0,-16.0
LGA,MKE,738.0,-6.0
JFK,FLL,1069.0,-27.0
LGA,IAH,1416.0,-41.0
EWR,PBI,1023.0,-17.0
EWR,MKE,725.0,85.0
JFK,SFO,2586.0,0.0
EWR,DFW,1372.0,-40.0
EWR,ATL,746.0,-29.0
EWR,BNA,748.0,48.0
LGA,DFW,1389.0,-11.0
JFK,IAD,228.0,-5.0
LGA,RSW,1080.0,-19.0
EWR,DCA,199.0,43.0
EWR,ORD,719.0,-27.0
JFK,SEA,2422.0,-10.0
EWR,STL,872.0,-2.0
EWR,TPA,997.0,-26.0
EWR,IAH,1400.0,-25.0
EWR,AUS,1504.0,37.0
JFK,PIT,340.0,-26.0
JFK,SFO,2586.0,7.0
JFK,SFO,2586.0,2.0
LGA,MSP,1020.0,-1.0
JFK,LAX,2475.0,12.0
LGA,MIA,1096.0,-3.0
LGA,ORD,733.0,-5.0
EWR,CVG,569.0,-4.0
LGA,MDW,725.0,-18.0
LGA,BOS,184.0,-22.0
EWR,MCO,937.0,-19.0
JFK,SFO,2586.0,-21.0
JFK,MIA,1089.0,-45.0
LGA,CLT,544.0,-17.0
JFK,FLL,1069.0,-34.0
EWR,MEM,946.0,-1.0
LGA,DEN,1620.0,-16.0
EWR,DFW,1372.0,-12.0
JFK,MSP,1029.0,-11.0
EWR,PHX,2133.0,17.0
EWR,OMA,1134.0,12.0
EWR,BOS,200.0,-19.0
JFK,FLL,1069.0,-32.0
LGA,ATL,762.0,-22.0
JFK,MCO,944.0,-24.0
JFK,TPA,1005.0,-34.0
JFK,BOS,187.0,-20.0
LGA,BOS,184.0,84.0
LGA,MCO,950.0,64.0
JFK,STT,1623.0,-9.0
JFK,ORD,740.0,-22.0
JFK,ATL,760.0,-18.0
JFK,LAS,2248.0,-25.0
LGA,TPA,1010.0,-3.0
LGA,ATL,762.0,-8.0
EWR,CLT,529.0,-13.0
JFK,SYR,209.0,11.0
JFK,BUF,301.0,-5.0
JFK,RDU,427.0,-4.0
EWR,MSP,1008.0,20.0
JFK,SJU,1598.0,0.0
LGA,DCA,214.0,28.0
LGA,ORD,733.0,-29.0
LGA,CMH,479.0,10.0
JFK,DCA,213.0,5.0
LGA,STL,888.0,-11.0
JFK,SAN,2446.0,11.0
EWR,PWM,284.0,-3.0
LGA,ATL,762.0,2.0
EWR,SAN,2425.0,22.0
LGA,DEN,1620.0,20.0
LGA,DEN,1620.0,15.0
JFK,SJU,1598.0,-4.0
EWR,MSY,1167.0,78.0
JFK,RDU,427.0,-14.0
EWR,MDW,711.0,7.0
JFK,LAX,2475.0,8.0
EWR,SYR,195.0,23.0
JFK,CLT,541.0,18.0
EWR,SFO,2565.0,79.0
JFK,JAX,828.0,2.0
JFK,BOS,187.0,-21.0
LGA,PBI,1035.0,4.0
JFK,SRQ,1041.0,44.0
EWR,MCO,937.0,-18.0
EWR,RSW,1068.0,-13.0
LGA,CLT,544.0,-18.0
EWR,XNA,1131.0,-11.0
EWR,BOS,200.0,-10.0
JFK,DCA,213.0,-11.0
LGA,DFW,1389.0,7.0
EWR,GSO,445.0,29.0
EWR,DTW,488.0,-12.0
JFK,SJU,1598.0,-8.0
EWR,MCI,1092.0,15.0
EWR,DTW,488.0,9.0
EWR,IAH,1400.0,-27.0
EWR,BTV,266.0,63.0
EWR,RIC,277.0,20.0
EWR,DTW,488.0,116.0
JFK,AUS,1521.0,-22.0
LGA,BOS,184.0,-12.0
EWR,GRR,605.0,39.0
EWR,JAX,820.0,28.0
JFK,HNL,4983.0,-10.0
EWR,LAS,2227.0,10.0
LGA,MCO,950.0,17.0
LGA,ORD,733.0,-2.0
LGA,DTW,502.0,-8.0
JFK,LAX,2475.0,29.0
EWR,ATL,746.0,-9.0
JFK,LAX,2475.0,-7.0
EWR,TPA,997.0,4.0
JFK,TPA,1005.0,-17.0
JFK,ROC,264.0,-11.0
EWR,CLE,404.0,7.0
LGA,CLE,419.0,31.0
EWR,SJU,1608.0,103.0
EWR,MYR,550.0,34.0
LGA,BNA,764.0,45.0
EWR,PBI,1023.0,1.0
LGA,DCA,214.0,12.0
LGA,FLL,1076.0,2.0
EWR,STT,1634.0,31.0
EWR,RDU,416.0,33.0
EWR,DEN,1605.0,34.0
LGA,DFW,1389.0,-28.0
JFK,BOS,187.0,-18.0
EWR,ORD,719.0,21.0
JFK,RDU,427.0,-3.0
LGA,RDU,431.0,48.0
JFK,BWI,184.0,48.0
JFK,LAX,2475.0,4.0
EWR,DFW,1372.0,-25.0
LGA,CLT,544.0,-2.0
EWR,DCA,199.0,1.0
EWR,LAX,2454.0,9.0
JFK,BTV,266.0,8.0
EWR,DEN,1605.0,28.0
JFK,ROC,264.0,-17.0
JFK,PIT,340.0,60.0
LGA,FLL,1076.0,-12.0
EWR,SJU,1608.0,10.0
EWR,MIA,1085.0,25.0
JFK,BUF,301.0,18.0
EWR,DAY,533.0,85.0
JFK,FLL,1069.0,13.0
JFK,LAS,2248.0,-16.0
LGA,MIA,1096.0,-7.0
JFK,MCO,944.0,-26.0
EWR,CVG,569.0,32.0
LGA,GRR,618.0,1.0
LGA,ORD,733.0,-8.0
LGA,BNA,764.0,-18.0
JFK,PWM,273.0,-8.0
JFK,PHL,94.0,-10.0
LGA,MKE,738.0,9.0
LGA,IAH,1416.0,17.0
EWR,EGE,1726.0,17.0
LGA,PBI,1035.0,3.0
LGA,ORD,733.0,-5.0
JFK,SFO,2586.0,-2.0
EWR,FLL,1065.0,-13.0
EWR,ATL,746.0,17.0
JFK,LAS,2248.0,-11.0
LGA,ATL,762.0,6.0
JFK,LAS,2248.0,-6.0
JFK,PHX,2153.0,-2.0
EWR,FLL,1065.0,-13.0
LGA,ATL,762.0,-5.0
EWR,SEA,2402.0,33.0
EWR,MHT,209.0,123.0
EWR,MCO,937.0,-4.0
EWR,ORD,719.0,-18.0
LGA,MSP,1020.0,-5.0
LGA,DTW,502.0,49.0
LGA,DFW,1389.0,-19.0
LGA,BNA,764.0,18.0
LGA,DCA,214.0,11.0
LGA,SRQ,1047.0,-11.0
EWR,IND,645.0,7.0
JFK,CLT,541.0,-10.0
EWR,CLT,529.0,-9.0
LGA,ATL,762.0,-13.0
EWR,DTW,488.0,-11.0
EWR,ATL,746.0,-21.0
EWR,CHS,628.0,-25.0
EWR,SDF,642.0,205.0
LGA,IAH,1416.0,-15.0
EWR,BNA,748.0,20.0
JFK,DTW,509.0,73.0
JFK,MIA,1089.0,55.0
JFK,SFO,2586.0,-9.0
LGA,RDU,431.0,-4.0
JFK,SFO,2586.0,9.0
JFK,SFO,2586.0,42.0
EWR,PHX,2133.0,11.0
LGA,IAD,229.0,34.0
JFK,MCO,944.0,-13.0
JFK,LAX,2475.0,33.0
EWR,IAH,1400.0,-22.0
LGA,DFW,1389.0,-12.0
EWR,RSW,1068.0,-31.0
LGA,MIA,1096.0,-32.0
EWR,BOS,200.0,-21.0
LGA,MEM,963.0,-2.0
EWR,SFO,2565.0,23.0
EWR,MKE,725.0,13.0
JFK,SFO,2586.0,3.0
LGA,FLL,1076.0,0.0
LGA,STL,888.0,-10.0
LGA,PIT,335.0,-7.0
LGA,CMH,479.0,-11.0
JFK,BTV,266.0,2.0
LGA,DTW,502.0,-16.0
LGA,ATL,762.0,-4.0
LGA,MIA,1096.0,-12.0
EWR,LAS,2227.0,43.0
LGA,DEN,1620.0,16.0
LGA,MDW,725.0,7.0
LGA,CLT,544.0,68.0
EWR,MCO,937.0,-31.0
EWR,PBI,1023.0,-27.0
EWR,IAD,212.0,55.0
EWR,MCI,1092.0,4.0
JFK,SJU,1598.0,-13.0
JFK,LAX,2475.0,-1.0
LGA,ORD,733.0,-5.0
JFK,MCO,944.0,-12.0
EWR,STL,872.0,-13.0
LGA,CLE,419.0,-14.0
JFK,LAX,2475.0,-4.0
LGA,MSP,1020.0,7.0
EWR,STL,872.0,111.0
LGA,BOS,184.0,40.0
EWR,ATL,746.0,-31.0
JFK,DCA,213.0,36.0
EWR,DEN,1605.0,10.0
EWR,MCO,937.0,-5.0
LGA,TPA,1010.0,-16.0
LGA,PBI,1035.0,-13.0
LGA,CAK,397.0,-1.0
LGA,MSP,1020.0,17.0
JFK,BOS,187.0,-2.0
EWR,BOS,200.0,-21.0
JFK,LAX,2475.0,1.0
JFK,HOU,1428.0,-23.0
LGA,ATL,762.0,-16.0
JFK,LAX,2475.0,3.0
LGA,ATL,762.0,-17.0
LGA,BOS,184.0,-6.0
EWR,IAH,1400.0,-19.0
LGA,RDU,431.0,-9.0
LGA,FLL,1076.0,-1.0
JFK,CLT,541.0,-11.0
EWR,MDW,711.0,-14.0
LGA,DCA,214.0,51.0
JFK,SYR,209.0,-15.0
EWR,BWI,169.0,-14.0
LGA,DCA,214.0,16.0
EWR,BUF,282.0,57.0
JFK,LGB,2465.0,-1.0
EWR,ORD,719.0,-2.0
EWR,SFO,2565.0,-10.0
EWR,MIA,1085.0,12.0
EWR,RDU,416.0,88.0
LGA,DFW,1389.0,-2.0
LGA,CLT,544.0,42.0
EWR,TPA,997.0,1.0
EWR,BTV,266.0,44.0
JFK,DCA,213.0,24.0
EWR,ATL,746.0,-1.0
JFK,RDU,427.0,2.0
LGA,BNA,764.0,31.0
JFK,BOS,187.0,-4.0
LGA,MKE,738.0,-7.0
EWR,MIA,1085.0,-14.0
LGA,DTW,502.0,-12.0
JFK,MIA,1089.0,-11.0
LGA,IAH,1416.0,-43.0
LGA,MCO,950.0,-3.0
EWR,ORF,284.0,45.0
LGA,MIA,1096.0,-19.0
LGA,CMH,479.0,-17.0
EWR,RIC,277.0,-18.0
EWR,DFW,1372.0,-33.0
JFK,IAD,228.0,157.0
EWR,DFW,1372.0,-9.0
LGA,DEN,1620.0,13.0
EWR,CVG,569.0,-1.0
LGA,DTW,502.0,110.0
LGA,ATL,762.0,-12.0
EWR,ATL,746.0,-23.0
LGA,BOS,184.0,4.0
EWR,MCO,937.0,-23.0
LGA,DCA,214.0,5.0
EWR,DTW,488.0,23.0
EWR,BOS,200.0,-18.0
EWR,CLT,529.0,36.0
EWR,ORD,719.0,3.0
EWR,HOU,1411.0,-33.0
LGA,ORD,733.0,19.0
JFK,ROC,264.0,-12.0
EWR,PHX,2133.0,44.0
EWR,DCA,199.0,27.0
LGA,ATL,762.0,-13.0
EWR,CLT,529.0,-2.0
JFK,FLL,1069.0,-8.0
EWR,BDL,116.0,-3.0
LGA,CLT,544.0,17.0
JFK,RSW,1074.0,89.0
EWR,LAX,2454.0,37.0
JFK,BUF,301.0,59.0
JFK,LAX,2475.0,6.0
LGA,SRQ,1047.0,-5.0
LGA,DTW,502.0,5.0
LGA,RDU,431.0,10.0
JFK,PBI,1028.0,9.0
JFK,ATL,760.0,-23.0
EWR,JAX,820.0,73.0
LGA,DFW,1389.0,-27.0
JFK,BOS,187.0,25.0
EWR,PHX,2133.0,14.0
EWR,FLL,1065.0,1.0
EWR,HNL,4963.0,25.0
JFK,LAX,2475.0,35.0
EWR,PWM,284.0,94.0
JFK,SJU,1598.0,13.0
EWR,IAD,212.0,17.0
JFK,MCO,944.0,-14.0
EWR,BUF,282.0,36.0
EWR,PBI,1023.0,18.0
LGA,BOS,184.0,-7.0
LGA,DCA,214.0,-15.0
LGA,MIA,1096.0,-18.0
JFK,JAX,828.0,-13.0
LGA,FLL,1076.0,-16.0
LGA,CLE,419.0,-19.0
EWR,PHX,2133.0,17.0
EWR,IAH,1400.0,-18.0
EWR,FLL,1065.0,-3.0
JFK,TPA,1005.0,-20.0
JFK,PHL,94.0,63.0
LGA,MDW,725.0,3.0
JFK,BOS,187.0,-16.0
LGA,ATL,762.0,-30.0
EWR,ORD,719.0,-14.0
EWR,ORD,719.0,-21.0
LGA,ATL,762.0,-4.0
LGA,MSP,1020.0,9.0
EWR,BWI,169.0,33.0
EWR,MSN,799.0,42.0
EWR,MHT,209.0,14.0
EWR,MSP,1008.0,-15.0
EWR,DFW,1372.0,-37.0
JFK,SFO,2586.0,22.0
JFK,IAD,228.0,37.0
EWR,ATL,746.0,-3.0
LGA,PBI,1035.0,39.0
EWR,CLE,404.0,2.0
LGA,FLL,1076.0,3.0
EWR,CVG,569.0,12.0
EWR,TPA,997.0,-5.0
EWR,RSW,1068.0,-22.0
LGA,MSP,1020.0,18.0
JFK,RDU,427.0,-25.0
EWR,BTV,266.0,39.0
LGA,CLT,544.0,-19.0
EWR,BOS,200.0,15.0
EWR,MIA,1085.0,-29.0
LGA,DTW,502.0,-7.0
JFK,PBI,1028.0,-7.0
LGA,ATL,762.0,-13.0
EWR,GSP,594.0,-20.0
JFK,MCO,944.0,-31.0
JFK,SEA,2422.0,79.0
JFK,BUF,301.0,-17.0
JFK,PWM,273.0,61.0
JFK,BOS,187.0,-11.0
EWR,DEN,1605.0,2.0
JFK,ORF,290.0,-3.0
JFK,MSY,1182.0,-43.0
LGA,ATL,762.0,-22.0
EWR,MEM,946.0,84.0
LGA,CMH,479.0,-7.0
EWR,SFO,2565.0,-3.0
JFK,LAX,2475.0,-2.0
EWR,CLT,529.0,-5.0
EWR,DTW,488.0,14.0
LGA,ORD,733.0,-1.0
JFK,CLE,425.0,8.0
LGA,ORD,733.0,-12.0
EWR,FLL,1065.0,-18.0
EWR,MCI,1092.0,24.0
LGA,DEN,1620.0,4.0
JFK,DCA,213.0,3.0
JFK,IND,665.0,-12.0
EWR,LAX,2454.0,4.0
EWR,CHS,628.0,63.0
JFK,SRQ,1041.0,9.0
EWR,CLT,529.0,-8.0
LGA,MSY,1183.0,54.0
JFK,MIA,1089.0,-23.0
LGA,MKE,738.0,-3.0
LGA,CLT,544.0,85.0
EWR,IAH,1400.0,-24.0
LGA,DFW,1389.0,5.0
EWR,AUS,1504.0,-3.0
LGA,RIC,292.0,-24.0
LGA,DCA,214.0,15.0
LGA,XNA,1147.0,30.0
EWR,BNA,748.0,-19.0
LGA,MIA,1096.0,-27.0
JFK,SFO,2586.0,-10.0
JFK,IAD,228.0,-5.0
EWR,TPA,997.0,-15.0
JFK,SFO,2586.0,75.0
EWR,ORF,284.0,-5.0
LGA,DFW,1389.0,-16.0
LGA,CLT,544.0,-7.0
EWR,FLL,1065.0,-23.0
JFK,ROC,264.0,-9.0
JFK,LAX,2475.0,-5.0
JFK,ORD,740.0,-26.0
LGA,MIA,1096.0,1.0
LGA,MCO,950.0,-25.0
JFK,CMH,483.0,19.0
EWR,ATL,746.0,-25.0
JFK,FLL,1069.0,-14.0
JFK,LAX,2475.0,30.0
EWR,STL,872.0,47.0
JFK,ATL,760.0,-23.0
EWR,BOS,200.0,-13.0
LGA,CLE,419.0,-25.0
EWR,SDF,642.0,-12.0
LGA,BOS,184.0,44.0
LGA,IAD,229.0,56.0
JFK,SLC,1990.0,214.0
JFK,BWI,184.0,22.0
EWR,SAN,2425.0,20.0
JFK,FLL,1069.0,-17.0
LGA,ATL,762.0,-29.0
JFK,IND,665.0,-4.0
JFK,BNA,765.0,-18.0
EWR,MDW,711.0,1.0
JFK,DEN,1626.0,15.0
EWR,DCA,199.0,73.0
JFK,BOS,187.0,-22.0
LGA,MCI,1107.0,88.0
JFK,MCO,944.0,-28.0
JFK,MCO,944.0,47.0
JFK,CVG,589.0,-13.0
JFK,DTW,509.0,19.0
JFK,DFW,1391.0,-28.0
JFK,BUF,301.0,64.0
EWR,CVG,569.0,29.0
EWR,MSP,1008.0,28.0
EWR,DAY,533.0,206.0
JFK,PIT,340.0,49.0
LGA,RDU,431.0,-22.0
EWR,MCO,937.0,129.0
LGA,CLT,544.0,37.0
LGA,ATL,762.0,-13.0
JFK,PHL,94.0,-19.0
JFK,DFW,1391.0,4.0
JFK,SJU,1598.0,26.0
LGA,MCO,950.0,38.0
LGA,PIT,335.0,-24.0
LGA,IAD,229.0,3.0
JFK,DCA,213.0,44.0
JFK,MCO,944.0,-3.0
LGA,TPA,1010.0,-4.0
LGA,MIA,1096.0,-8.0
LGA,BNA,764.0,-11.0
LGA,MSP,1020.0,10.0
LGA,TPA,1010.0,-1.0
JFK,LAS,2248.0,22.0
JFK,SJU,1598.0,16.0
LGA,ORD,733.0,-1.0
JFK,LAX,2475.0,0.0
EWR,MCO,937.0,-27.0
LGA,IAH,1416.0,66.0
EWR,RDU,416.0,282.0
JFK,ORD,740.0,27.0
JFK,PHX,2153.0,10.0
LGA,BOS,184.0,31.0
EWR,PHX,2133.0,-12.0
EWR,IAH,1400.0,-21.0
EWR,HOU,1411.0,-46.0
JFK,SFO,2586.0,27.0
LGA,DTW,502.0,2.0
EWR,SAT,1569.0,-37.0
LGA,DFW,1389.0,-14.0
EWR,CLE,404.0,-1.0
JFK,RSW,1074.0,-12.0
EWR,DCA,199.0,12.0
EWR,BOS,200.0,-8.0
EWR,DEN,1605.0,31.0
LGA,DTW,502.0,-6.0
LGA,PBI,1035.0,-4.0
JFK,BOS,187.0,-21.0
LGA,RDU,431.0,98.0
JFK,RDU,427.0,18.0
EWR,ORD,719.0,-17.0
EWR,LAS,2227.0,46.0
JFK,SFO,2586.0,27.0
LGA,MEM,963.0,-6.0
JFK,LAX,2475.0,14.0
JFK,LAX,2475.0,24.0
JFK,SAT,1587.0,-33.0
JFK,LAX,2475.0,5.0
EWR,ORD,719.0,17.0
JFK,SJU,1598.0,-18.0
JFK,BUR,2465.0,17.0
LGA,ATL,762.0,-6.0
JFK,ROC,264.0,-15.0
JFK,ORF,290.0,-14.0
JFK,LAS,2248.0,21.0
LGA,BOS,184.0,4.0
JFK,DCA,213.0,-14.0
EWR,MKE,725.0,102.0
LGA,IAH,1416.0,-24.0
EWR,BOS,200.0,-17.0
LGA,DCA,214.0,7.0
EWR,ORD,719.0,55.0
JFK,MSP,1029.0,97.0
EWR,FLL,1065.0,-23.0
JFK,AUS,1521.0,-2.0
EWR,LAX,2454.0,-21.0
JFK,PIT,340.0,54.0
JFK,SAN,2446.0,26.0
EWR,SFO,2565.0,12.0
LGA,ORD,733.0,9.0
JFK,SAN,2446.0,-8.0
JFK,EGE,1747.0,47.0
LGA,DEN,1620.0,3.0
EWR,JAX,820.0,104.0
JFK,PBI,1028.0,-12.0
EWR,DFW,1372.0,-13.0
JFK,AUS,1521.0,6.0
JFK,BNA,765.0,-7.0
JFK,ORD,740.0,-2.0
JFK,FLL,1069.0,-2.0
LGA,ORD,733.0,-1.0
LGA,FLL,1076.0,-10.0
EWR,PWM,284.0,137.0
EWR,IAH,1400.0,-28.0
JFK,MIA,1089.0,67.0
LGA,STL,888.0,47.0
JFK,CLT,541.0,41.0
EWR,MCO,937.0,-22.0
JFK,SFO,2586.0,59.0
JFK,SAN,2446.0,6.0
LGA,DEN,1620.0,45.0
EWR,TPA,997.0,-19.0
EWR,CLT,529.0,-13.0
EWR,CVG,569.0,27.0
JFK,RSW,1074.0,54.0
JFK,SYR,209.0,143.0
EWR,LAS,2227.0,58.0
JFK,BTV,266.0,12.0
LGA,RDU,431.0,14.0
LGA,MCO,950.0,8.0
EWR,ALB,143.0,74.0
JFK,RDU,427.0,1.0
EWR,DTW,488.0,34.0
LGA,ATL,762.0,94.0
LGA,DTW,502.0,41.0
JFK,PDX,2454.0,27.0
EWR,MDW,711.0,9.0
EWR,ATL,746.0,19.0
EWR,MEM,946.0,56.0
EWR,MIA,1085.0,-11.0
JFK,SFO,2586.0,32.0
JFK,LAX,2475.0,-1.0
JFK,IAD,228.0,13.0
LGA,MCO,950.0,-16.0
LGA,BNA,764.0,-12.0
EWR,SAV,708.0,51.0
EWR,MHT,209.0,85.0
EWR,STL,872.0,37.0
JFK,FLL,1069.0,-14.0
LGA,BOS,184.0,2.0
LGA,XNA,1147.0,11.0
LGA,ATL,762.0,32.0
LGA,DFW,1389.0,16.0
JFK,CLT,541.0,9.0
LGA,DCA,214.0,26.0
JFK,ORF,290.0,-17.0
JFK,MSP,1029.0,7.0
LGA,ATL,762.0,1.0
EWR,PBI,1023.0,-14.0
JFK,LGB,2465.0,21.0
JFK,MIA,1089.0,21.0
JFK,RIC,288.0,-11.0
EWR,RDU,416.0,77.0
EWR,GSO,445.0,103.0
EWR,CVG,569.0,33.0
EWR,SEA,2402.0,19.0
EWR,RDU,416.0,178.0
EWR,FLL,1065.0,-14.0
LGA,MDW,725.0,19.0
JFK,DTW,509.0,21.0
LGA,ORD,733.0,29.0
EWR,CLE,404.0,14.0
EWR,LAX,2454.0,1.0
JFK,MCO,944.0,0.0
EWR,PBI,1023.0,-20.0
EWR,BOS,200.0,-5.0
JFK,LAS,2248.0,17.0
EWR,MSP,1008.0,17.0
EWR,DFW,1372.0,9.0
JFK,SEA,2422.0,17.0
LGA,CLT,544.0,72.0
LGA,MSP,1020.0,37.0
EWR,CLT,529.0,-17.0
JFK,SFO,2586.0,9.0
EWR,RIC,277.0,60.0
JFK,BOS,187.0,46.0
EWR,PDX,2434.0,101.0
JFK,BWI,184.0,4.0
EWR,DTW,488.0,-12.0
LGA,CMH,479.0,46.0
LGA,ORD,733.0,13.0
EWR,LAX,2454.0,14.0
EWR,BWI,169.0,95.0
LGA,CRW,444.0,-10.0
LGA,DTW,502.0,-1.0
EWR,ORD,719.0,-10.0
LGA,CLE,419.0,9.0
EWR,SAN,2425.0,61.0
JFK,MIA,1089.0,-24.0
JFK,SJC,2569.0,78.0
EWR,DTW,488.0,66.0
LGA,MIA,1096.0,20.0
JFK,BUF,301.0,10.0
EWR,SNA,2434.0,18.0
JFK,MSY,1182.0,-11.0
EWR,PHX,2133.0,23.0
LGA,STL,888.0,-1.0
EWR,ORD,719.0,38.0
EWR,DCA,199.0,121.0
JFK,TPA,1005.0,11.0
EWR,BWI,169.0,41.0
JFK,SFO,2586.0,24.0
EWR,MCO,937.0,210.0
JFK,IAD,228.0,7.0
JFK,SJU,1598.0,14.0
JFK,ATL,760.0,-21.0
JFK,PIT,340.0,-3.0
JFK,SFO,2586.0,17.0
EWR,ATL,746.0,133.0
JFK,LAX,2475.0,29.0
JFK,LAX,2475.0,31.0
EWR,SFO,2565.0,38.0
LGA,ATL,762.0,-17.0
LGA,RDU,431.0,-3.0
LGA,CLT,544.0,7.0
EWR,ATL,746.0,35.0
LGA,DCA,214.0,18.0
EWR,DFW,1372.0,-19.0
LGA,ATL,762.0,1.0
JFK,ORD,740.0,15.0
JFK,RDU,427.0,-8.0
EWR,ORD,719.0,-4.0
JFK,LAS,2248.0,19.0
LGA,IAH,1416.0,-4.0
JFK,MCO,944.0,-12.0
JFK,FLL,1069.0,0.0
JFK,SLC,1990.0,273.0
LGA,BOS,184.0,28.0
JFK,IAD,228.0,27.0
LGA,BHM,866.0,-3.0
JFK,PHX,2153.0,41.0
JFK,SEA,2422.0,77.0
JFK,SLC,1990.0,56.0
JFK,PHX,2153.0,28.0
JFK,CLT,541.0,2.0
EWR,STL,872.0,141.0
JFK,CLE,425.0,5.0
